"county_geoid","place_geoid","tract_geoid","county","place","tract","county_pop","place_pop","tract_pop","overlap_percent"
6087,636613,6087122500,"Santa Cruz","Interlaken CDP","Census Tract 1225, Santa Cruz County, California",273962,7817,6988,0.994965047953819
6059,648256,6059032022,"Orange","Mission Viejo","Census Tract 320.22, Orange County, California",3168044,95516,6792,0.786899791946278
6059,668028,6059032022,"Orange","San Juan Capistrano","Census Tract 320.22, Orange County, California",3168044,35922,6792,0.213100208053722
6037,673080,6037536000,"Los Angeles","South Gate","Census Tract 5360, Los Angeles County, California",10081570,94642,3701,1
6001,653000,6001406900,"Alameda","Oakland","Census Tract 4069, Alameda County, California",1656754,425097,3608,1
6001,653000,6001410400,"Alameda","Oakland","Census Tract 4104, Alameda County, California",1656754,425097,4477,1
6073,622804,6073020305,"San Diego","Escondido","Census Tract 203.05, San Diego County, California",3316073,151300,6221,1
6113,684816,6113010102,"Yolo","West Sacramento","Census Tract 101.02, Yolo County, California",217352,53151,7729,1
6065,678120,6065049600,"Riverside","Temecula","Census Tract 496, Riverside County, California",2411439,113381,8220,0.982367754058581
6065,650076,6065049600,"Riverside","Murrieta","Census Tract 496, Riverside County, California",2411439,112941,8220,0.0176322459414186
6065,636448,6065940400,"Riverside","Indio","Census Tract 9404, Riverside County, California",2411439,89469,6818,0.102002656853562
6065,614260,6065940400,"Riverside","Coachella","Census Tract 9404, Riverside County, California",2411439,45181,6818,0.897997343146438
6065,646842,6065042726,"Riverside","Menifee","Census Tract 427.26, Riverside County, California",2411439,90349,9300,0.521014035181639
6065,685894,6065042726,"Riverside","Winchester CDP","Census Tract 427.26, Riverside County, California",2411439,3322,9300,0.47898596481836
6075,667000,6075010900,"San Francisco","San Francisco","Census Tract 109, San Francisco County, California",874961,874961,4486,1
6059,616580,6059032044,"Orange","Coto de Caza CDP","Census Tract 320.44, Orange County, California",3168044,15056,5700,0.627006555483581
6059,659587,6059032044,"Orange","Rancho Santa Margarita","Census Tract 320.44, Orange County, California",3168044,48503,5700,0.372993444516419
6081,665028,6081603802,"San Mateo","San Bruno","Census Tract 6038.02, San Mateo County, California",767423,43083,5083,1
6001,653000,6001404300,"Alameda","Oakland","Census Tract 4043, Alameda County, California",1656754,425097,3443,1
6001,681204,6001440332,"Alameda","Union City","Census Tract 4403.32, Alameda County, California",1656754,74722,3505,1
6037,644000,6037108103,"Los Angeles","Los Angeles","Census Tract 1081.03, Los Angeles County, California",10081570,3966936,3099,1
6037,683332,6037403407,"Los Angeles","Walnut","Census Tract 4034.07, Los Angeles County, California",10081570,29903,2314,1
6037,600884,6037481604,"Los Angeles","Alhambra","Census Tract 4816.04, Los Angeles County, California",10081570,84647,3701,1
6007,654388,6007002700,"Butte","Oroville East CDP","Census Tract 27, Butte County, California",225817,7771,5953,0.509257439055846
6007,654386,6007002700,"Butte","Oroville","Census Tract 27, Butte County, California",225817,19393,5953,0.490742560944154
6007,654388,6007003100,"Butte","Oroville East CDP","Census Tract 31, Butte County, California",225817,7771,4573,0.847284837648028
6007,654386,6007003100,"Butte","Oroville","Census Tract 31, Butte County, California",225817,19393,4573,0.152715162351972
6017,657540,6017031200,"El Dorado","Placerville","Census Tract 312, El Dorado County, California",188563,10970,5138,1
6017,610256,6017030810,"El Dorado","Cameron Park CDP","Census Tract 308.10, El Dorado County, California",188563,19171,3915,1
6037,655380,6037670326,"Los Angeles","Palos Verdes Estates","Census Tract 6703.26, Los Angeles County, California",10081570,13434,3613,1
6073,666000,6073008329,"San Diego","San Diego","Census Tract 83.29, San Diego County, California",3316073,1409573,7256,1
6019,627000,6019005504,"Fresno","Fresno","Census Tract 55.04, Fresno County, California",984521,525010,3384,1
6019,627000,6019005508,"Fresno","Fresno","Census Tract 55.08, Fresno County, California",984521,525010,5671,1
6037,630000,6037300702,"Los Angeles","Glendale","Census Tract 3007.02, Los Angeles County, California",10081570,200232,5430,1
6037,643000,6037571704,"Los Angeles","Long Beach","Census Tract 5717.04, Los Angeles County, California",10081570,466776,4076,1
6073,666000,6073008345,"San Diego","San Diego","Census Tract 83.45, San Diego County, California",3316073,1409573,4012,1
6073,666000,6073016606,"San Diego","San Diego","Census Tract 166.06, San Diego County, California",3316073,1409573,3575,0.188436244937101
6073,670224,6073016606,"San Diego","Santee","Census Tract 166.06, San Diego County, California",3316073,57797,3575,0.811563755062899
6055,653196,6055201500,"Napa","Oakville CDP","Census Tract 2015, Napa County, California",139623,91,1846,0.442125725752971
6055,663400,6055201500,"Napa","Rutherford CDP","Census Tract 2015, Napa County, California",139623,88,1846,0.557874274247029
6081,633798,6081605700,"San Mateo","Hillsborough","Census Tract 6057, San Mateo County, California",767423,11447,5348,0.999703484329317
6081,633633,6081605700,"San Mateo","Highlands-Baywood Park CDP","Census Tract 6057, San Mateo County, California",767423,4767,5348,0.000296515670682616
6037,648914,6037481713,"Los Angeles","Monterey Park","Census Tract 4817.13, Los Angeles County, California",10081570,60439,2736,1
