geoid,location,county,year_implemented,policy_type,treated,repeal,repeal_date,nuisance
642468,lomita,los angeles,2003,nuisance_drug,0,F,NA,1
643000,long beach,los angeles,1988,nuisance_general,0,F,NA,1
644000,los angeles,los angeles,2013,nuisance_general,0,F,NA,1
644574,lynwood,los angeles,2009,nuisance_general,0,F,NA,1
645246,malibu,los angeles,2003,nuisance_drug,0,F,NA,1
645400,manhattan beach,los angeles,2003,nuisance_drug,0,F,NA,1
645484,manteca,san joaquin,2010,nuisance_general,0,F,NA,1
646114,martinez,contra costa,,cfmhp,1,F,NA,0
646492,maywood,los angeles,1997,nuisance_drug_gang,0,F,NA,1
646842,menifee,riverside,2018,nuisance_drug,0,F,NA,1
648354,modesto,stanislaus,2012,cfmhp,1,F,NA,0
648648,monrovia,los angeles,2003,nuisance_drug,0,F,NA,1
648788,montclair,san bernardino,2009,nuisance_general,0,F,NA,1
648816,montebello,los angeles,2003,nuisance_drug,0,F,NA,1
648914,monterey park,los angeles,2003,nuisance_drug,0,F,NA,1
649187,moraga,contra costa,,cfmhp,1,F,NA,0
649270,moreno valley,riverside,1999,cfmhp,1,F,NA,0
650398,national city,san diego,2004,nuisance_drugs,0,F,NA,1
650734,needles,san bernardino,,cfmhp,1,F,NA,0
650874,nevada city,nevada,2017,nuisance_general,0,F,NA,1
650916,newark,alameda,2001,nuisance_general,0,F,NA,1
651140,newman,stanislaus,1992,nuisance_gang,0,F,NA,1
651560,norco,riverside,,None,0,F,NA,0
652526,norwalk,los angeles,2003,nuisance_drug,0,F,NA,1
652582,novato,marin,2014,cfmhp,1,F,NA,0
653000,oakland,alameda,2013,nuisance_general,0,F,NA,1
653070,oakley,contra costa,,cfmhp,1,F,NA,0
653322,oceanside,san diego,2007,cfmhp,1,F,NA,0
653896,ontario,san bernardino,2003,cfmhp,1,F,NA,0
653980,orange,orange,1996,nuisance_general,0,F,NA,1
654232,orinda,contra costa,,cfmhp,1,F,NA,0
654386,oroville,butte,2019,nuisance_drugs,0,F,NA,1
655156,palmdale,los angeles,2010,cfmhp,1,F,NA,0
655184,palm desert,riverside,,cfmhp,1,F,NA,0
655380,palos verdes estates,los angeles,2003,nuisance_drug,0,F,NA,1
655618,paramount,los angeles,1999,good_neighbor,1,F,NA,0
655856,parlier,fresno,,nuisance_general,0,F,NA,1
656000,pasadena,los angeles,1989,nuisance_drug,0,F,NA,1
656924,pico rivera,los angeles,2003,nuisance_drug,0,F,NA,1
656938,piedmont,alameda,2007,cfmhp,0.5,F,NA,0
657288,pinole,contra costa,,cfmhp,1,F,NA,0
657456,pittsburg,contra costa,2005,cfmhp,1,F,NA,0
657764,pleasant hill,contra costa,,cfmhp,1,F,NA,0
657792,pleasanton,alameda,2007,cfmhp,0.5,F,NA,0
658072,pomona,los angeles,2008,cfmhp,1,F,NA,0
658520,poway,san diego,2009,cfmhp,1,F,NA,0
659444,rancho cordova,sacramento,2003,cfmhp,1,F,NA,0
659451,rancho cucamonga,san bernardino,2019,cfmhp,1,F,NA,0
659514,rancho palos verdes,los angeles,2003,nuisance_drug,0,F,NA,1
659962,redlands,san bernardino,1995,cfmhp,1,F,NA,0
660018,redondo beach,los angeles,2003,nuisance_drug,0,F,NA,1
660466,rialto,san bernardino,,cfmhp,1,F,NA,0
660620,richmond,contra costa,,cfmhp,1,F,NA,0
662000,riverside,riverside,2005,cfmhp,1,F,NA,0
662546,rohnert park,sonoma,2012,nuisance_general,0,F,NA,1
662602,rolling hills,los angeles,2003,nuisance_drug,0,F,NA,1
662644,rolling hills estates,los angeles,2003,nuisance_drug,0,F,NA,1
662896,rosemead,los angeles,2003,nuisance_drug,0,F,NA,1
664000,sacramento,sacramento,2010,nuisance_drugs?,0,Partial,2019,1
664140,st. helena,napa,2002,nuisance_general,0,F,NA,1
665000,san bernardino,san bernardino,2011,cfmhp,1,F,NA,0
666000,san diego,san diego,2010,cfmhp,1,F,NA,0
666070,san dimas,los angeles,2003,nuisance_drug,0,F,NA,1
666140,san fernando,los angeles,2003,nuisance_drug,0,F,NA,1
667042,san gabriel,los angeles,2003,nuisance_drug,0,F,NA,1
667112,san jacinto,riverside,2012,nuisance_general,0,F,NA,1
668000,san jose,santa clara,2008,nuisance_general,0,F,NA,1
668014,san juan bautista,san benito,2017,nuisance_general,0,F,NA,1
668084,san leandro,alameda,2008,cfmhp,1,F,NA,0
668196,san marcos,san diego,2016,cfmhp,1,F,NA,0
668224,san marino,los angeles,2003,nuisance_drug,0,F,NA,1
668294,san pablo,contra costa,,cfmhp,1,F,NA,0
668378,san ramon,contra costa,2007,cfmhp,1,F,NA,0
669088,santa clarita,los angeles,2003,nuisance_drug,0,F,NA,1
669154,santa fe springs,los angeles,2003,nuisance_drug,0,F,NA,1
670000,santa monica,los angeles,2003,nuisance_drug,0,F,NA,1
670042,santa paula,ventura,2006,nuisance_general,0,F,NA,1
670224,santee,san diego,2010,cfmhp,1,F,NA,0
671806,sierra madre,los angeles,2003,nuisance_drug,0,F,NA,1
671876,signal hill,los angeles,2003,nuisance_drug,0,F,NA,1
672506,solana beach,san diego,2010,cfmhp,1,F,NA,0
672996,south el monte,los angeles,2003,nuisance_drug,0,F,NA,1
673080,south gate,los angeles,2003,nuisance_drug,0,F,NA,1
673220,south pasadena,los angeles,2003,nuisance_drug,0,F,NA,1
673262,south san francisco,san mateo,1997,nuisance_general,0,F,NA,1
675000,stockton,san joaquin,2003,cfmhp,1,F,NA,0
678092,tehachapi,kern,2015,nuisance_general,0,F,NA,1
678120,temecula,riverside,2012,cfmhp,1,F,NA,0
678148,temple city,los angeles,2003,nuisance_drug,0,F,NA,1
680000,torrance,los angeles,2003,nuisance_drug,0,F,NA,1
680448,trinidad,humboldt,1994,nuisance_drug,0,F,NA,1
680994,twentynine palms,san bernardino,1989,nuisance_drug_gangs,0,F,NA,1
681204,union city,alameda,2012,cfmhp,1,F,NA,0
681344,upland,san bernardino,2017,nuisance_general,0,F,NA,1
681554,vacaville,solano,2006,cfmhp,1,F,NA,0
681666,vallejo,solano,2007,cfmhp,1,T,2020,0
682422,vernon,los angeles,2003,nuisance_drug,0,F,NA,1
682590,victorville,san bernardino,2013,cfmhp,1,F,NA,0
682954,visalia,tulare,2008,nuisance_general,0,F,NA,1
682996,vista,san diego,2016,cfmhp,1,F,NA,0
683332,walnut,los angeles,2003,nuisance_drug,0,F,NA,1
683346,walnut creek,contra costa,,cfmhp,1,F,NA,0
684200,west covina,los angeles,1997,cfmhp,1,F,NA,0
684410,west hollywood,los angeles,2003,nuisance_drug,0,F,NA,1
684438,westlake village,los angeles,2003,nuisance_drug,0,F,NA,1
684816,west sacramento,yolo,2003,nuisance_general,0,F,NA,1
685292,whittier,los angeles,2003,nuisance_drug,0,F,NA,1
685446,wildomar,riverside,,cfmhp,1,F,NA,0
685586,williams,colusa,2013,nuisance_general,0,F,NA,1
686328,woodland,yolo,2019,cfmhp,1,F,NA,0
687042,yucaipa,san bernardino,2009,cfmhp,1,F,NA,0
687056,yucca valley,san bernardino,,cfmhp,1,F,NA,0
