"estimate","se","eventTime","model"
0.058628046057725,7.15829951100279,-10,"twfe"
2.83521920757773,8.22110009177102,-9,"twfe"
12.9560080578646,6.92089668703378,-8,"twfe"
6.75079523757274,5.85364506706623,-7,"twfe"
5.82958187491056,4.22073661989657,-6,"twfe"
4.69763266049213,3.27456449557594,-5,"twfe"
3.40709188472558,3.2856273853547,-4,"twfe"
2.07647814952807,3.44999664363444,-3,"twfe"
4.86990452255838,3.57267464390015,-2,"twfe"
-5.40188982944578,2.42495046648621,0,"twfe"
0.722207002700663,2.97759570793474,1,"twfe"
-1.1382558460105,3.69925834439895,2,"twfe"
-3.09475391004345,3.87474954433862,3,"twfe"
-6.50166115022253,5.10174806601233,4,"twfe"
-5.45360482229971,6.15869037352396,5,"twfe"
-5.5622745668298,6.98274238739491,6,"twfe"
-3.61712206157016,4.98181107577515,7,"twfe"
-2.62768550592331,4.7729837178915,8,"twfe"
-4.66926728898363,5.41259763244235,9,"twfe"
-1.71624274447509,6.38815723169828,-10,"csa"
12.4802473486618,14.5692717208014,-9,"csa"
24.5419798074229,11.40838361262,-8,"csa"
11.2262885215062,7.67309916434663,-7,"csa"
8.51653394100451,4.73710270067735,-6,"csa"
7.80032355712301,3.04465044985785,-5,"csa"
0.892393206663254,4.54530092957939,-4,"csa"
0.617193311805883,3.90769425879024,-3,"csa"
3.82977261957418,3.99193110864545,-2,"csa"
-4.91781340619679,2.35687398545205,0,"csa"
0.970434744084806,3.07152794263745,1,"csa"
-1.49312123281643,3.78005334119097,2,"csa"
-4.14861066543524,4.02814306761978,3,"csa"
-7.21725313145895,5.60786301446351,4,"csa"
-5.75326192631967,7.95850075664299,5,"csa"
-7.5631032203281,7.86289759767722,6,"csa"
0.343020237818883,5.01877437624533,7,"csa"
2.27427773068963,5.29992643086118,8,"csa"
-0.121458371762507,5.4672200303042,9,"csa"
-1.7162427444724,5.90532972517153,-10,"sa"
12.4549656657515,2.11874364895003,-9,"sa"
24.5645854031185,3.78190270477962,-8,"sa"
11.2042334980114,3.96760077101656,-7,"sa"
8.42339862836715,1.91444887648167,-6,"sa"
7.81136322352669,1.56912584801883,-5,"sa"
0.909215096196706,2.5777831932542,-4,"sa"
0.545355863711304,2.53180691111099,-3,"sa"
3.7850897489045,2.63221252121001,-2,"sa"
-4.98339443582758,2.01339991366293,0,"sa"
1.01319374539823,2.05535889933836,1,"sa"
-1.51141223759325,2.8253755335052,2,"sa"
-4.29091207500251,2.67358436109766,3,"sa"
-7.26378268134323,3.21849683266935,4,"sa"
-5.7870980813705,4.54081663922868,5,"sa"
-7.75664302776249,6.28078659406107,6,"sa"
0.275133206426923,5.07191693324975,7,"sa"
2.287838167188,5.05809541676308,8,"sa"
-0.121458371763175,5.10139468191731,9,"sa"
