"estimate","se","eventTime","model"
-25.9039609788981,9.17568705343686,-10,"twfe"
-18.2572514369237,13.797393817831,-9,"twfe"
-7.11475549239086,8.52350005003987,-8,"twfe"
-8.5981015854191,5.47494919398124,-7,"twfe"
-6.76718988731537,6.23302556988582,-6,"twfe"
-2.99866963617794,4.54832709938501,-5,"twfe"
-0.265309297718687,4.42759843127363,-4,"twfe"
-4.14761630136528,4.39215910441121,-3,"twfe"
-3.51475286457208,3.44378727780225,-2,"twfe"
-1.39461963657199,2.67976531256752,0,"twfe"
-1.24441688535907,4.87382288359581,1,"twfe"
2.12434056854173,4.47751898704508,2,"twfe"
4.68787893864739,4.75252650394579,3,"twfe"
10.3610260228181,6.53892504805048,4,"twfe"
7.8940540928402,7.02213467326598,5,"twfe"
1.63652124986032,8.53391135554571,6,"twfe"
7.71150171645419,8.57380043593925,7,"twfe"
7.01444645333108,12.1114710380787,8,"twfe"
-4.54395039687191,7.7580530019916,9,"twfe"
-20.6524767002675,14.541720732494,-10,"csa"
-35.3203889571,17.7107376972865,-9,"csa"
-18.9175085785826,10.2855023106722,-8,"csa"
-14.4272703891749,5.56357483305273,-7,"csa"
-9.21678039407459,8.45097639685165,-6,"csa"
-5.34660197975046,4.8160412901536,-5,"csa"
0.0207972534035444,4.78523149505454,-4,"csa"
-4.14458138766476,5.45138055863281,-3,"csa"
-2.24219021310373,3.73686268784529,-2,"csa"
-1.51180380163299,2.83314639999639,0,"csa"
-2.17727438084125,5.09922652964345,1,"csa"
1.97938886378313,4.79801816439192,2,"csa"
5.67142914025092,4.59071734384672,3,"csa"
12.0910188551382,6.79919753341589,4,"csa"
9.45090055666707,7.40509847162262,5,"csa"
3.77852938066693,9.67980130057416,6,"csa"
9.89843181697913,9.5402235221084,7,"csa"
6.93191769209946,15.4852567740227,8,"csa"
-6.57902206030558,8.92573699237093,9,"csa"
-21.1531560565366,12.5577921637492,-10,"sa"
-38.062373290654,7.68181375635789,-9,"sa"
-20.2969470201361,5.48444345208856,-8,"sa"
-15.6746123045697,4.25003997584625,-7,"sa"
-10.3241843155751,3.90807547726298,-6,"sa"
-6.0220585141089,3.55023167524689,-5,"sa"
-1.25999710238631,3.67338526788093,-4,"sa"
-4.76061643541843,1.96313607388039,-3,"sa"
-2.60430856847079,1.74169795074995,-2,"sa"
-1.54192332096099,2.29974182142201,0,"sa"
-1.74917302785896,3.994622911048,1,"sa"
2.82145467417422,4.00020587671417,2,"sa"
6.58732897625988,4.50860189481097,3,"sa"
13.0104468790645,6.11212714594552,4,"sa"
10.0002491395064,6.9862831235345,5,"sa"
4.67880237903693,7.54557807317501,6,"sa"
10.0486610611122,6.52026610250546,7,"sa"
7.97558734528949,9.94737038591234,8,"sa"
-6.34978336604822,8.44852579869011,9,"sa"
