"estimate","se","eventTime","model"
-25.3240373681018,9.0250872935732,-10,"twfe"
-17.4839684780805,13.7576336073759,-9,"twfe"
-8.28367207533494,7.38746389085299,-8,"twfe"
-8.9641532891107,4.83462024850376,-7,"twfe"
-6.74762433963942,5.85317764465153,-6,"twfe"
-3.43187174525939,4.24501191695714,-5,"twfe"
0.108480576496698,4.0828237769119,-4,"twfe"
-4.07691323082382,4.18680928873017,-3,"twfe"
-3.53686594650084,3.37410388992116,-2,"twfe"
-1.39564598066838,2.74743826328901,0,"twfe"
-1.56287401327501,4.78329659107242,1,"twfe"
1.49362195798074,4.46245103491904,2,"twfe"
4.22904014273495,4.71603362559584,3,"twfe"
9.93403955242943,6.41894231520319,4,"twfe"
7.85614963493877,6.82325599242384,5,"twfe"
1.67283990290854,8.48918977054134,6,"twfe"
8.44053422776714,8.43464772366125,7,"twfe"
7.20789766691232,12.1513573354987,8,"twfe"
-3.89048258750777,7.76615232654462,9,"twfe"
-20.6524767002675,13.9682534020436,-10,"csa"
-35.3203889571,20.6348655599411,-9,"csa"
-18.9175085785826,9.98952892503036,-8,"csa"
-14.4272703891749,5.71068370101804,-7,"csa"
-9.21678039407459,8.21862369703556,-6,"csa"
-5.34660197975046,4.9027145643933,-5,"csa"
0.0207972534035444,4.58246815560112,-4,"csa"
-4.14458138766476,5.24208052645066,-3,"csa"
-2.24219021310373,3.55878732651688,-2,"csa"
-1.51180380163299,2.82691790884709,0,"csa"
-2.17727438084125,5.27210485840271,1,"csa"
1.97938886378313,4.24801752917386,2,"csa"
5.67142914025092,4.55191007930664,3,"csa"
12.0910188551382,6.90313556607104,4,"csa"
9.45090055666707,7.26256826044427,5,"csa"
3.77852938066693,9.51526953770207,6,"csa"
9.89843181697913,10.231357404446,7,"csa"
6.93191769209946,16.3292481366153,8,"csa"
-6.57902206030558,9.43889406018158,9,"csa"
-20.6524767002682,12.3390522165974,-10,"sa"
-35.3862020083916,7.31226469019967,-9,"sa"
-19.0273874506488,4.71191437760515,-8,"sa"
-14.5407625220301,3.36819200378575,-7,"sa"
-9.40536748030393,3.9632845713203,-6,"sa"
-5.53743368226693,3.42429808587768,-5,"sa"
-0.183570685439272,3.44385148089979,-4,"sa"
-4.18728465662881,1.82547249280198,-3,"sa"
-2.24454814229869,1.71099582724682,-2,"sa"
-1.48991902894919,2.34851836535329,0,"sa"
-2.0969803026302,3.92942059508635,1,"sa"
2.02569066105752,4.05102265625438,2,"sa"
5.83432043762754,4.51915484568885,3,"sa"
12.2895087028468,5.95550001098588,4,"sa"
9.64715283396379,6.68288817369156,5,"sa"
3.99165562927749,7.34427967247289,6,"sa"
10.2416995344193,6.32516176954927,7,"sa"
7.09509775491479,9.63533802268651,8,"sa"
-6.57902206030526,8.31321885012815,9,"sa"
