"estimate","se","eventTime","model"
-7.66449213426201,35.6372206116452,-10,"twfe"
-5.57487002584367,34.9481442134344,-9,"twfe"
1.6865789010651,31.0077317432782,-8,"twfe"
1.61212895733378,12.2249067864657,-7,"twfe"
8.20564848228573,11.7858047269652,-6,"twfe"
2.26837945675853,8.95913373016592,-5,"twfe"
-2.30541694667369,8.59609955693099,-4,"twfe"
-7.24361757439995,11.4448238976665,-3,"twfe"
3.26129609587474,7.85780308583894,-2,"twfe"
-11.3283968633266,7.41811906407666,0,"twfe"
4.56149564224518,8.45802388567554,1,"twfe"
4.29550745231452,9.09245390625281,2,"twfe"
2.31595153903633,8.84712007805774,3,"twfe"
-10.5572376891116,10.7051410154318,4,"twfe"
-16.1385155195895,12.0577508513246,5,"twfe"
-26.8463130011662,13.2550353019831,6,"twfe"
-13.8165474106386,14.7410556465545,7,"twfe"
-7.38875972340011,17.9710510831076,8,"twfe"
-24.2078592793255,30.1608652727738,9,"twfe"
-54.9775004538956,8.19583603150694,-10,"csa"
-69.6868891362102,21.923661231854,-9,"csa"
-21.8169978259634,49.6927208773507,-8,"csa"
-3.20083523352455,14.8447933384355,-7,"csa"
4.29399960282254,14.6299982391569,-6,"csa"
5.59714275133562,9.65186115835259,-5,"csa"
-8.03103248799953,9.2925165471982,-4,"csa"
-9.72780891253726,14.3037827668215,-3,"csa"
3.47495728600184,9.33201150143467,-2,"csa"
-13.3790974812751,7.89600481588775,0,"csa"
3.15998090619698,8.34519163816612,1,"csa"
5.59513976580163,9.03952927668666,2,"csa"
2.02699589429697,8.59236870522798,3,"csa"
-11.6839069522493,11.3293406990676,4,"csa"
-16.2716249141853,14.3850905106297,5,"csa"
-30.6940722695805,14.4760322623125,6,"csa"
-9.37524623516605,15.5087974662193,7,"csa"
-6.46669180351473,22.0427088456346,8,"csa"
-29.529618625337,40.2183196888243,9,"csa"
-54.9775004539038,8.28170776786848,-10,"sa"
-69.8851298615629,9.49852506743679,-9,"sa"
-21.9601049805457,16.0481164419649,-8,"sa"
-3.03248322297132,12.3301271464204,-7,"sa"
4.21544757466168,8.82630651110808,-6,"sa"
5.44733519198372,6.69342665407094,-5,"sa"
-8.16917242274698,6.40710217863768,-4,"sa"
-9.91606287527483,5.18872537982451,-3,"sa"
3.40303759013632,3.7221818373717,-2,"sa"
-13.4723625030967,6.84733898266485,0,"sa"
3.4961432143768,6.19679537895312,1,"sa"
5.96938850221749,8.07239419307959,2,"sa"
2.14733863250392,7.55463719128373,3,"sa"
-11.5371529301186,7.05199017057152,4,"sa"
-16.2535290899594,9.52007910234703,5,"sa"
-30.7323217256939,10.6113533689525,6,"sa"
-8.67003175817607,12.5754050530784,7,"sa"
-6.03230167646571,19.1172033278397,8,"sa"
-29.5296186253258,33.3251388023395,9,"sa"
