,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.51* (0.06), 1.54* (0.06), 1.13* (0.06), 0.77* (0.04), 1.22* (0.08),1.37* (0.07), 0.97* (0.06),1.33* (0.07),1.21* (0.06), 1.29* (0.06), 1.51* (0.07), 1.51* (0.06)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.22,0.22,0.13,0.08,0.14,0.17,0.1,0.14,0.14,0.17,0.23,0.22
