,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.54* (0.07), 0.68* (0.10), 0.85* (0.06), 0.81* (0.06), 0.77* (0.07),0.61* (0.13), 0.61* (0.06), 0.54* (0.06), 0.67* (0.06), 0.70* (0.10),0.85* (0.10), 0.72* (0.10)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
