,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units,1.97* (0.09),1.87* (0.08),1.76* (0.07),2.10* (0.08), 1.92* (0.12), 2.18* (0.12), 1.90* (0.06), 1.76* (0.08), 2.16* (0.12),2.37* (0.12),1.83* (0.09),1.86* (0.09)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.13,0.1,0.09,0.13,0.11,0.14,0.12,0.11,0.14,0.17,0.12,0.12
