,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.24* (0.09), 1.60* (0.08), 1.84* (0.07), 1.58* (0.09), 1.68* (0.07),1.24* (0.10), 1.69* (0.09), 1.45* (0.07), 1.74* (0.10), 1.51* (0.11),1.68* (0.17), 1.81* (0.10)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
