"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"One or more CFHP units"," 0.53* (0.15)","0.62* (0.18)"," 0.85* (0.27)"," 0.59* (0.24)"," 1.23* (0.42)","0.43* (0.18)","0.61* (0.24)"," 0.64* (0.20)"," 0.88* (0.26)"," 0.78* (0.17)"," 0.97* (0.12)","0.74* (0.23)"
"Rental Units (in hundreds)"," 0.43* (0.07)","0.50* (0.09)"," 0.40* (0.10)"," 0.40* (0.10)"," 0.39* (0.10)","0.41* (0.11)","0.50* (0.09)"," 0.40* (0.11)"," 0.37* (0.10)"," 0.36* (0.10)"," 0.32* (0.09)","0.45* (0.08)"
"Treated units","76","76","76","76","76","76","76","76","76","76","76","76"
"Total units","1590","1582","1580","1579","1592","1616","1611","1612","1614","1593","1589","1596"
"Adjusted R-squared","0.18","0.22","0.17","0.17","0.17","0.17","0.22","0.18","0.17","0.14","0.14","0.19"
