,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.81* (0.03), 0.82* (0.03), 0.67* (0.03), 0.43* (0.02), 0.60* (0.03),0.61* (0.03), 0.42* (0.02),0.59* (0.03),0.51* (0.03), 0.55* (0.03), 0.77* (0.03), 0.81* (0.03)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.23,0.24,0.14,0.08,0.11,0.14,0.08,0.1,0.09,0.12,0.22,0.23
