"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"Number of CFHP units"," 0.13 (0.07)","0.22* (0.07)"," 0.33* (0.12)"," 0.29* (0.11)"," 0.56* (0.21)","0.24* (0.09)","0.07 (0.11)"," 0.19 (0.11)"," 0.27* (0.12)"," 0.32* (0.09)"," 0.46* (0.09)","0.17* (0.09)"
"Rental Units (in hundreds)"," 0.43* (0.07)","0.50* (0.09)"," 0.40* (0.10)"," 0.40* (0.10)"," 0.39* (0.10)","0.41* (0.11)","0.50* (0.09)"," 0.40* (0.11)"," 0.37* (0.10)"," 0.36* (0.10)"," 0.32* (0.09)","0.45* (0.08)"
"Treated units","76","76","76","76","76","76","76","76","76","76","76","76"
"Total units","1590","1582","1580","1579","1592","1616","1611","1612","1614","1593","1589","1596"
"Adjusted R-squared","0.18","0.21","0.17","0.17","0.17","0.17","0.22","0.18","0.17","0.14","0.14","0.19"
