"estimate","se","eventTime","model"
69.2469251514904,54.084508943858,-10,"twfe"
0.343948875282097,27.260455198757,-9,"twfe"
-12.7101556138695,29.7083465119554,-8,"twfe"
19.2051063461476,18.2060164011956,-7,"twfe"
14.7123658027791,13.3264305220548,-6,"twfe"
12.402426985568,12.9295123181863,-5,"twfe"
-4.22623837634026,11.0975508820787,-4,"twfe"
3.07455176645293,11.1424329390892,-3,"twfe"
7.61006499001861,8.22826508457577,-2,"twfe"
-13.9028656152204,5.61944107302964,0,"twfe"
-1.65506515603426,7.57876431156862,1,"twfe"
-0.63403813926935,9.03348546871397,2,"twfe"
7.29597728406557,10.6216837156666,3,"twfe"
-4.83601501904451,11.9382925308798,4,"twfe"
-5.72093907669175,12.5131667017581,5,"twfe"
-1.6205517720798,14.9705966345019,6,"twfe"
-0.635354846720271,16.4125070367622,7,"twfe"
-9.98476667302649,15.4502975712815,8,"twfe"
-27.3125961643546,23.2333264496905,9,"twfe"
81.3431875728478,134.846759050904,-10,"csa"
-22.2386052888905,50.2951564846958,-9,"csa"
-10.7589613895784,36.8557077631293,-8,"csa"
30.1707367818895,23.5597094051347,-7,"csa"
15.3780201675298,19.5101768921009,-6,"csa"
17.0583765922777,16.1903345149141,-5,"csa"
-7.07094679776142,13.3671413985044,-4,"csa"
0.667100285641627,11.5998867230502,-3,"csa"
7.01303762646843,9.55613983357879,-2,"csa"
0,NA,-1,"csa"
-14.5294568488143,5.83622257773259,0,"csa"
-3.44469410173443,7.63398824041934,1,"csa"
-1.29485030054265,10.1581500236294,2,"csa"
2.1609392359183,12.6596491679881,3,"csa"
-11.3456289462019,15.0838114283733,4,"csa"
-6.74726310400065,14.1207292769715,5,"csa"
-4.57909716453426,16.5466158860475,6,"csa"
6.91806649722977,19.3408684823813,7,"csa"
-1.66522259752978,22.9156805483036,8,"csa"
-23.3570365097123,29.1303489289294,9,"csa"
81.3431875728538,114.018507745814,-10,"sa"
-22.2522893285772,35.1367546148057,-9,"sa"
-10.8270957859182,32.624499075949,-8,"sa"
30.1169615656011,20.983905862979,-7,"sa"
15.3635978953416,16.392140779692,-6,"sa"
17.0480273186052,12.1217930857732,-5,"sa"
-7.48519940152606,10.9394474683734,-4,"sa"
-0.0434987580251953,10.4356541026643,-3,"sa"
6.62277619988662,7.28272154982219,-2,"sa"
-14.3180426836638,5.52246098218957,0,"sa"
-3.08813876705172,6.51139646391188,1,"sa"
-0.287838089886291,8.6409326189824,2,"sa"
2.12037279253476,10.8993630124462,3,"sa"
-11.116008279963,12.9590452462473,4,"sa"
-6.68680242627179,13.7321074829662,5,"sa"
-4.46277868795835,16.4486612709761,6,"sa"
7.48047863858561,18.7397456068613,7,"sa"
-2.65065768927231,19.9564541135746,8,"sa"
-23.3570365097116,27.0730455958254,9,"sa"
