"estimate","se","eventTime","model"
1.57885571573585,4.96275219820438,-10,"twfe"
5.55567744737136,6.28774004739009,-9,"twfe"
5.54976316114098,8.50144947804788,-8,"twfe"
11.3844577377641,8.40239553583075,-7,"twfe"
7.42375315455084,3.81482020505016,-6,"twfe"
13.8620321419138,5.92253549701749,-5,"twfe"
1.8695070298488,2.92380747519642,-4,"twfe"
5.45767529723008,3.25773682367717,-3,"twfe"
5.04706297749185,2.7413670570879,-2,"twfe"
-3.95197081073766,2.23940657227156,0,"twfe"
0.017922544476403,2.60360891126536,1,"twfe"
-1.475375232013,3.43113452734225,2,"twfe"
-3.33679236733278,3.97692030276805,3,"twfe"
-5.89720339226614,5.04564628222495,4,"twfe"
-2.46326183687204,5.28355530200782,5,"twfe"
-2.00238980600803,5.84770305173607,6,"twfe"
-1.58627741276744,4.75764435018676,7,"twfe"
-1.11623994787015,4.30754145140993,8,"twfe"
-4.40982486736178,4.23297200297251,9,"twfe"
20.1957722657349,24.4432381969308,-10,"csa"
25.0716374194974,13.9115443622284,-9,"csa"
19.4398642812284,12.9606799758531,-8,"csa"
23.1379324704082,11.6798743825593,-7,"csa"
13.0351931347731,4.21158075232101,-6,"csa"
18.7655413893922,7.09417545392918,-5,"csa"
1.71840329794914,4.09123936127517,-4,"csa"
5.13459823599083,4.11103144644221,-3,"csa"
4.29833638476711,3.0822060235795,-2,"csa"
0,NA,-1,"csa"
-3.74829881786128,2.16989708940668,0,"csa"
-1.08789475355164,2.52084600044334,1,"csa"
-3.66306362310501,3.57562369833537,2,"csa"
-6.59948551681821,4.27982795374548,3,"csa"
-9.04978401349359,5.27133881794328,4,"csa"
-4.488902053079,6.05922213353382,5,"csa"
-5.57176716762538,7.22246505748961,6,"csa"
0.546027883770772,5.02218456598294,7,"csa"
1.97886979081861,5.04104551199562,8,"csa"
-0.604479971457501,5.25993755286899,9,"csa"
17.539168592636,15.983076164184,-10,"sa"
20.2453277663046,12.4800364458931,-9,"sa"
15.266487285396,11.1195764620273,-8,"sa"
18.8013866044656,9.33765661615674,-7,"sa"
10.7819778015934,3.93189177685935,-6,"sa"
17.3770910074985,5.61617175544398,-5,"sa"
0.466239513062139,3.50079531117477,-4,"sa"
4.06048764143115,3.31729748983816,-3,"sa"
3.74258432070391,2.74210013163781,-2,"sa"
-3.51890347661992,2.06353138689975,0,"sa"
-0.587883041887844,2.22596681574401,1,"sa"
-2.5642401197549,3.1330961637148,2,"sa"
-6.19607068760912,3.61948121629338,3,"sa"
-8.21697748448257,4.86785330418519,4,"sa"
-3.74625150034806,5.40414685863485,5,"sa"
-3.88927089066147,6.5451361562088,6,"sa"
1.22233368483297,5.16886402164977,7,"sa"
4.76175654372078,5.38304449862444,8,"sa"
1.16226000302286,4.49984529791967,9,"sa"
