"estimate","se","eventTime","model"
42.152752447919,53.5254613286254,-10,"twfe"
-7.78911570830605,42.6766771012805,-9,"twfe"
2.08265165821576,9.10645996918355,-8,"twfe"
4.57945394857723,10.6205291881885,-7,"twfe"
5.20523058077054,6.45768169009363,-6,"twfe"
-3.54759516775417,6.22795740266095,-5,"twfe"
1.46967050976704,4.86644829918656,-4,"twfe"
3.5526139908081,6.60192178040256,-3,"twfe"
-0.779839465107205,3.31853865340383,-2,"twfe"
-2.82025351900629,3.07093378053267,0,"twfe"
-1.25251180446665,4.34792532159406,1,"twfe"
1.10303904151407,4.43063384320589,2,"twfe"
8.1027597598406,4.80331235051381,3,"twfe"
9.48554223596905,5.98443334415392,4,"twfe"
9.31345123372676,6.27329852707794,5,"twfe"
5.16304762751177,7.57815270655702,6,"twfe"
8.61396732347843,7.22578957909424,7,"twfe"
3.98998190837587,10.4923980946456,8,"twfe"
2.04474679521574,8.37659009857356,9,"twfe"
92.7395786356595,113.181720587788,-10,"csa"
-22.5005417415959,72.2391419964128,-9,"csa"
1.24841551851149,12.2038781923582,-8,"csa"
4.14564543278547,16.4354566431563,-7,"csa"
6.92633222183366,8.23893120781142,-6,"csa"
-3.27181553632984,7.30930252361956,-5,"csa"
3.67515252921419,5.81767240710927,-4,"csa"
5.05390254038376,7.75339223628298,-3,"csa"
1.09667713654681,3.90805174905317,-2,"csa"
0,NA,-1,"csa"
-2.11715314076008,3.1095633356428,0,"csa"
-1.89380202042727,4.70979947578798,1,"csa"
2.92473526907877,4.39658695534242,2,"csa"
9.55820708969339,4.84095550376861,3,"csa"
12.1669675612605,5.53437763571282,4,"csa"
10.4611819671156,6.67693011873847,5,"csa"
6.85115548179201,8.44140977391651,6,"csa"
8.11444171030473,7.83432281371543,7,"csa"
1.38172251614361,13.997454783386,8,"csa"
-2.79828679378183,8.51268158834635,9,"csa"
90.5117557205276,93.002226744375,-10,"sa"
-25.3027192524262,52.7043897085544,-9,"sa"
-0.36074707783113,11.7877243528788,-8,"sa"
2.82250335469528,13.2186923340628,-7,"sa"
6.06834380302249,7.45226784657278,-6,"sa"
-3.7005675508693,6.9899758655181,-5,"sa"
3.00926133530708,5.19722561923055,-4,"sa"
4.5537541629541,6.17220769839831,-3,"sa"
0.957371846389075,3.19742917243029,-2,"sa"
-1.92097054732471,2.73092352397546,0,"sa"
-1.6396700727089,3.89013695505701,1,"sa"
3.35400181201206,3.9088543066656,2,"sa"
9.66013187674671,4.28427729895382,3,"sa"
12.3976972911866,5.30892974196398,4,"sa"
10.5353416175495,6.24437379453734,5,"sa"
7.2053554392386,7.19245137924658,6,"sa"
8.284882384345,5.734107683944,7,"sa"
1.51064314617129,9.68009696089022,8,"sa"
-2.21382700817058,7.59489241151504,9,"sa"
